2025-03-12 19:15:51,305:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-12 19:28:33,794:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-12 19:38:18,696:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-12 19:45:26,283:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-12 19:49:36,790:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-12 20:20:09,674:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-13 11:42:13,450:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-13 11:47:20,822:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-13 11:58:02,181:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
2025-03-13 12:03:40,826:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 50.80, Whale Moves Mean: 0.88, Positive Sentiment Score: 1439, Positive X Sentiment: 1262, Extreme Fear (<30): 85, Extreme Greed (>70): 0, Active Whale Moves (>0.2): 1438
